"","Tank","Treatment","Date","Day_numrecord","Time","Trial","Total_num_urchin","Num_urch_on_kelp","pycno1_position","pycno1_slice","Pycno1 activity","pycno2_position","pycno2_slice","Pycno2 activity","Notes","slice","position","location_count","crev","dist_to_pyc1","dist_to_pyc2","up_dn_pyc1","up_dn_pyc2"
"1",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,1,"Outer_side",2,"N",NA,NA,NA,NA
"2",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,1,"Outer_bottom",NA,"N",NA,NA,NA,NA
"3",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,1,"Inner",1,"N",NA,NA,NA,NA
"4",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,2,"Outer_side",2,"N",NA,NA,NA,NA
"5",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,2,"Outer_bottom",NA,"N",NA,NA,NA,NA
"6",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,2,"Inner",1,"N",NA,NA,NA,NA
"7",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,3,"Outer_side",2,"N",NA,NA,NA,NA
"8",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,3,"Outer_bottom",NA,"N",NA,NA,NA,NA
"9",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,3,"Inner",1,"N",NA,NA,NA,NA
"10",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,4,"Outer_side",2,"N",NA,NA,NA,NA
"11",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,4,"Outer_bottom",NA,"N",NA,NA,NA,NA
"12",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,4,"Inner",1,"N",NA,NA,NA,NA
"13",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,6,"Outer_side",2,"N",NA,NA,NA,NA
"14",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,6,"Outer_bottom",NA,"N",NA,NA,NA,NA
"15",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,6,"Inner",1,"N",NA,NA,NA,NA
"16",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,5,"Outer_side",2,"N",NA,NA,NA,NA
"17",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,5,"Outer_bottom",NA,"N",NA,NA,NA,NA
"18",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,5,"Inner",1,"N",NA,NA,NA,NA
"19",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,7,"Outer_side",2,"N",NA,NA,NA,NA
"20",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,7,"Outer_bottom",NA,"N",NA,NA,NA,NA
"21",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,7,"Inner",1,"N",NA,NA,NA,NA
"22",1,"Control_KF",2024-07-11,"1_1",1899-12-30 09:00:00,1,24,0,NA,NA,NA,NA,NA,NA,NA,8,"Outer_side",2,"N",NA,NA,NA,NA
