Trial,Trial Start Date,Urchin_serial_num,Tank,Treatment,Size_cm
1,7/11/24,1,1,Control_KF,6.9
1,7/11/24,2,1,Control_KF,6
1,7/11/24,3,1,Control_KF,5.9
1,7/11/24,4,1,Control_KF,4.3
1,7/11/24,5,1,Control_KF,6.5
1,7/11/24,6,1,Control_KF,6
1,7/11/24,7,1,Control_KF,5.5
1,7/11/24,8,1,Control_KF,5.4
1,7/11/24,9,1,Control_KF,5.8
1,7/11/24,10,1,Control_KF,6
1,7/11/24,11,1,Control_KF,6.6
1,7/11/24,12,1,Control_KF,6
1,7/11/24,13,1,Control_KF,6.5
1,7/11/24,14,1,Control_KF,6.6
1,7/11/24,15,1,Control_KF,6.8
1,7/11/24,16,1,Control_KF,6.5
1,7/11/24,17,1,Control_KF,7
1,7/11/24,18,1,Control_KF,5.5
1,7/11/24,19,1,Control_KF,5.2
1,7/11/24,20,1,Control_KF,6.5
1,7/11/24,21,1,Control_KF,6.3
1,7/11/24,22,1,Control_KF,6.9
1,7/11/24,23,1,Control_KF,6
1,7/11/24,24,1,Control_KF,5.9
1,7/11/24,1,2,Star_KF,6.5
1,7/11/24,2,2,Star_KF,5.5
1,7/11/24,3,2,Star_KF,5
1,7/11/24,4,2,Star_KF,6
1,7/11/24,5,2,Star_KF,6.5
1,7/11/24,6,2,Star_KF,4.3
1,7/11/24,7,2,Star_KF,6
1,7/11/24,8,2,Star_KF,6
1,7/11/24,9,2,Star_KF,7.3
1,7/11/24,10,2,Star_KF,5.2
1,7/11/24,11,2,Star_KF,6.3
1,7/11/24,12,2,Star_KF,5
1,7/11/24,13,2,Star_KF,6.6
1,7/11/24,14,2,Star_KF,7.5
1,7/11/24,15,2,Star_KF,5
1,7/11/24,16,2,Star_KF,6.5
1,7/11/24,17,2,Star_KF,6
1,7/11/24,18,2,Star_KF,7.5
1,7/11/24,19,2,Star_KF,5.5
1,7/11/24,20,2,Star_KF,7
1,7/11/24,21,2,Star_KF,4.5
1,7/11/24,22,2,Star_KF,6.5
1,7/11/24,23,2,Star_KF,6
1,7/11/24,24,2,Star_KF,4.3
1,7/11/24,1,3,Star_B,5
1,7/11/24,2,3,Star_B,5.5
1,7/11/24,3,3,Star_B,6
1,7/11/24,4,3,Star_B,5
1,7/11/24,5,3,Star_B,6.9
1,7/11/24,6,3,Star_B,5.7
1,7/11/24,7,3,Star_B,6.5
1,7/11/24,8,3,Star_B,6
1,7/11/24,9,3,Star_B,5.2
1,7/11/24,10,3,Star_B,6
1,7/11/24,11,3,Star_B,6
1,7/11/24,12,3,Star_B,6.5
1,7/11/24,13,3,Star_B,6.5
1,7/11/24,14,3,Star_B,7.5
1,7/11/24,15,3,Star_B,6
